epoch,train_loss,val_loss,dice_edema,dice_core,dice_enhancing,mean_dice,lr,sec_per_epoch
1,0.8222717048804312,0.7536554322686306,0.010541071183979511,0.10504750162363052,0.0352589413523674,0.05028250440955162,9.99314767377287e-05,161.7357738018036
2,0.6189726623008396,0.6176962488659934,0.05890541523694992,0.17801235616207123,0.06984056532382965,0.1022527813911438,9.972609476841367e-05,153.79841089248657
3,0.4385270832297832,0.5109357068059398,0.12326842546463013,0.28959694504737854,0.16493961215019226,0.19260166585445404,9.93844170297569e-05,152.5200901031494
4,0.2540196838703818,0.4423389884650081,0.21064932644367218,0.37873873114585876,0.26557955145835876,0.28498920798301697,9.89073800366903e-05,152.87466049194336
5,0.1587334067009043,0.4143939624549705,0.24640198051929474,0.41415175795555115,0.3228484094142914,0.3278007209300995,9.829629131445343e-05,147.40554070472717
6,0.12312562064739217,0.38993292410839286,0.2724199593067169,0.4590841829776764,0.35022687911987305,0.3605769872665405,9.75528258147577e-05,152.06022381782532
7,0.11240095773062746,0.38012290946538757,0.28437015414237976,0.47809088230133057,0.3680074214935303,0.376822829246521,9.66790213248601e-05,152.21860098838806
8,0.1008053569379654,0.3746034090174881,0.2898705005645752,0.4879600405693054,0.38012149930000305,0.38598403334617615,9.567727288213006e-05,149.38108110427856
9,0.0942513143377404,0.3689893415662353,0.3027510941028595,0.4947180449962616,0.3894360363483429,0.39563506841659546,9.455032620941841e-05,154.20020198822021
10,0.0902522308964642,0.3638119576804461,0.30563122034072876,0.5092191100120544,0.39307263493537903,0.4026409983634949,9.330127018922197e-05,151.93721771240234
11,0.086518667282817,0.36301824853047326,0.31099191308021545,0.5059782862663269,0.39861974120140076,0.4051966667175293,9.193352839727123e-05,153.81201672554016
12,0.08602155399653172,0.35996168497718417,0.3148009777069092,0.5172538757324219,0.3977142870426178,0.4099230468273163,9.04508497187474e-05,153.75849390029907
13,0.08402916371907719,0.3576934699725102,0.31478384137153625,0.5245715379714966,0.4018765985965729,0.4137439727783203,8.885729807284857e-05,154.31647276878357
14,0.08078251323856657,0.3544132204980902,0.3203882873058319,0.5279907584190369,0.40560242533683777,0.41799384355545044,8.715724127386973e-05,154.40620970726013
15,0.08132924399739284,0.35812520494731453,0.32293227314949036,0.5195063948631287,0.39807844161987305,0.4135057330131531,8.535533905932739e-05,153.48769617080688
16,0.08130953006776014,0.3582805588523382,0.3184204399585724,0.5111984610557556,0.41209664940834045,0.41390520334243774,8.345653031794293e-05,156.09356999397278
17,0.07952096648786641,0.35298221294156074,0.324684202671051,0.5314256548881531,0.4093329608440399,0.42181429266929626,8.146601955249189e-05,153.0466766357422
18,0.07548441551387054,0.3495124374635283,0.3290237486362457,0.5362794995307922,0.4125504791736603,0.4259512424468994,7.938926261462367e-05,147.6513295173645
19,0.07475365325106541,0.3505983771735523,0.3338038921356201,0.531846284866333,0.40935415029525757,0.42500147223472595,7.723195175075138e-05,145.52325296401978
20,0.07415590634349244,0.3506571483027217,0.3296200931072235,0.5353408455848694,0.41213589906692505,0.4256989359855652,7.500000000000002e-05,146.93919038772583
21,0.07256594772228167,0.352115004143923,0.3307324945926666,0.5294586420059204,0.4101354479789734,0.42344221472740173,7.269952498697736e-05,154.91721534729004
22,0.07154763399939157,0.35189447530366386,0.32338494062423706,0.5376047492027283,0.41254863142967224,0.4245128035545349,7.033683215379003e-05,154.47816681861877
23,0.07154277241327951,0.351110859086613,0.32975322008132935,0.5325922966003418,0.41159552335739136,0.4246470332145691,6.791839747726505e-05,154.7252492904663
24,0.0714974566196779,0.3494895750187354,0.3329485058784485,0.5348967909812927,0.4127487540245056,0.42686471343040466,6.54508497187474e-05,156.27653861045837
25,0.06968671896179664,0.3483683853420569,0.3328760266304016,0.5404635071754456,0.4140881597995758,0.429142564535141,6.294095225512606e-05,147.53353095054626
26,0.06905241446388309,0.34885704165129344,0.33275994658470154,0.5393462181091309,0.4120664894580841,0.42805755138397217,6.0395584540887984e-05,154.98154377937317
27,0.06835267888292926,0.34578238903773595,0.33347949385643005,0.5495300889015198,0.41418391466140747,0.43239784240722656,5.782172325201157e-05,150.97040843963623
28,0.06769850521464314,0.3426147887341419,0.33766984939575195,0.5539299845695496,0.4202316403388977,0.4372771680355072,5.52264231633827e-05,150.96824312210083
29,0.06757409803346366,0.3452698822023763,0.3374071717262268,0.5496848821640015,0.41208305954933167,0.43305838108062744,5.261679781214721e-05,154.88077545166016
30,0.06651462896340864,0.34572246215000924,0.3363131284713745,0.5460948944091797,0.41716018319129944,0.43318939208984375,5.0000000000000036e-05,149.0263545513153
31,0.0660264619537725,0.3455424560658223,0.3344190716743469,0.5484780073165894,0.4170703887939453,0.4333225190639496,4.738320218785284e-05,153.72832417488098
32,0.06536019392035834,0.3480488633171469,0.3367365896701813,0.5391454696655273,0.41317278146743774,0.42968496680259705,4.477357683661736e-05,153.74280500411987
33,0.06499470185971147,0.34535740179672253,0.3349902927875519,0.5507673025131226,0.41526171565055847,0.43367311358451843,4.217827674798848e-05,155.19013833999634
34,0.06412240340570054,0.3454579937207391,0.3360653221607208,0.5466110110282898,0.41833826899528503,0.4336715638637543,3.9604415459112055e-05,155.56729388237
35,0.06369110951546206,0.3445670686261067,0.33579257130622864,0.5502779483795166,0.4186759293079376,0.4349154829978943,3.705904774487399e-05,152.8784146308899
36,0.06358178518024576,0.3467437232250847,0.3342500329017639,0.544163703918457,0.4169386327266693,0.43178412318229675,3.4549150281252656e-05,153.5921974182129
37,0.06296124834441794,0.34551317369379636,0.3325023949146271,0.5503833293914795,0.41879186034202576,0.43389254808425903,3.2081602522735006e-05,153.38020133972168
38,0.06287389966262136,0.3445202678812275,0.33582353591918945,0.5529800653457642,0.41554760932922363,0.4347837567329407,2.9663167846210015e-05,149.85332584381104
39,0.0622460154839393,0.34560968311739104,0.3345162570476532,0.5493274331092834,0.416594922542572,0.43347954750061035,2.7300475013022676e-05,154.4350824356079
40,0.0618955217076649,0.3446371972219091,0.33637988567352295,0.5520398616790771,0.4159177839756012,0.43477916717529297,2.5000000000000025e-05,151.25944423675537
41,0.06148895109805901,0.3457664087837234,0.3335161507129669,0.5493972301483154,0.4178638756275177,0.43359240889549255,2.2768048249248675e-05,154.0183036327362
42,0.06161999908219252,0.34520812734709916,0.334970623254776,0.5508483648300171,0.41656336188316345,0.43412744998931885,2.0610737385376362e-05,144.87402176856995
43,0.0613393374374262,0.3452710704311287,0.3343571126461029,0.5524548888206482,0.41589048504829407,0.4342341423034668,1.8533980447508148e-05,153.69774055480957
44,0.06090768378079409,0.34420134251988893,0.33571338653564453,0.5547088384628296,0.417027086019516,0.4358164668083191,1.6543469682057116e-05,153.87071824073792
45,0.06018826623127205,0.3455830775426808,0.3346787691116333,0.5498079061508179,0.4170096218585968,0.4338321089744568,1.4644660940672637e-05,153.77206802368164
46,0.060228685566427805,0.34464245811508276,0.3359886407852173,0.5520778894424438,0.41707631945610046,0.43504762649536133,1.2842758726130309e-05,148.93459510803223
47,0.05996230580016556,0.34468435368632083,0.3359895646572113,0.5529701113700867,0.41639086604118347,0.43511685729026794,1.1142701927151465e-05,155.07796788215637
48,0.059697314745301426,0.34440890557449233,0.3357792794704437,0.5531267523765564,0.41811493039131165,0.43567365407943726,9.549150281252641e-06,160.64749264717102
49,0.05981768931531687,0.34393737337208735,0.33663803339004517,0.5537151098251343,0.4185539782047272,0.43630239367485046,8.06647160272881e-06,154.397944688797
50,0.05969957806848946,0.34438155140987664,0.3353500962257385,0.5533958077430725,0.41829007863998413,0.4356786608695984,6.69872981077807e-06,152.5487837791443
51,0.05960609931382237,0.3444332619330882,0.3356668949127197,0.5543144345283508,0.4169061481952667,0.43562912940979004,5.449673790581616e-06,153.19371724128723
52,0.05964335197869391,0.34421502740643667,0.33600562810897827,0.5543783903121948,0.4173670709133148,0.4359170198440552,4.322727117869955e-06,155.77072525024414
53,0.059120447488110385,0.3447197244667863,0.33453503251075745,0.5530614852905273,0.41855621337890625,0.43538424372673035,3.3209786751399153e-06,154.1146116256714
54,0.059311483209508915,0.344849603766277,0.3349531292915344,0.5523678064346313,0.4177614450454712,0.43502745032310486,2.447174185242325e-06,152.839688539505
55,0.05879405744021683,0.344587224452273,0.335568368434906,0.5521439909934998,0.4185560941696167,0.4354228377342224,1.7037086855465854e-06,155.4927043914795
56,0.058911916979059904,0.34452467939397186,0.3358132839202881,0.5523245930671692,0.41859978437423706,0.43557924032211304,1.0926199633097164e-06,154.64842653274536
57,0.05904441170229875,0.34469814517384845,0.33579307794570923,0.5520069599151611,0.41811951994895935,0.43530651926994324,6.155829702431174e-07,155.23693180084229
58,0.05872753185470039,0.344500654345297,0.3359604477882385,0.55244380235672,0.41831454634666443,0.43557295203208923,2.7390523158633014e-07,155.68409132957458
59,0.05927273201369175,0.3444944954613433,0.3360520303249359,0.5524755716323853,0.418194979429245,0.4355742335319519,6.85232622713084e-08,141.35768508911133
60,0.05892208098394811,0.34444873089545774,0.3360329866409302,0.5526769757270813,0.41821107268333435,0.4356403350830078,0.0,147.1328911781311
